标题,标题链接,查看数,参与数,价格,状态,当前网页URL,详情标题,字段1,字段2,字段3,原文件名,,
【语音识别】语音识别应用开发,https://task.epwk.com/1094657/,37人,1人,"¥18,000",圆满完成,,语音识别应用开发,直接雇佣￥ 18000,￥ 18000,任务编号：1094657,0-88.csv,,
【AIGC技术】图像生成算法优化,https://task.epwk.com/1094660/,29人,1人,"¥24,000",圆满完成,,图像生成算法优化,直接雇佣￥ 24000,￥ 24000,任务编号：1094660,0-88.csv,,
【AI接口】机器翻译API,https://task.epwk.com/1094664/,27人,1人,"¥36,000",圆满完成,,机器翻译API,直接雇佣￥ 36000,￥ 36000,任务编号：1094664,0-88.csv,,
【小程序开发】管道小程序端开发,https://task.epwk.com/1094682/,24人,1人,"¥3,200",圆满完成,,管道小程序端开发,直接雇佣￥ 3200,￥ 3200,任务编号：1094682,0-88.csv,,
【其他管理软件】管理系统开发,https://task.epwk.com/1094726/,40人,1人,"¥44,650",圆满完成,,管理系统开发,直接雇佣￥ 44650,￥ 44650,任务编号：1094726,0-88.csv,,
【其他工具软件】WPF界面开发项目,https://task.epwk.com/1094888/,36人,1人,"¥8,000",圆满完成,,WPF界面开发项目,直接雇佣￥ 8000,￥ 8000,任务编号：1094888,0-88.csv,,
【手机网站】H5定制开发/电脑端PC/移动端手机网站,https://task.epwk.com/1094960/,20人,1人,"¥1,400",圆满完成,,H5定制开发/电脑端PC/移动端手机网站,直接雇佣￥ 1400,￥ 1400,任务编号：1094960,0-88.csv,,
【网站二次开发】H5直播网站开发有直播源接口-第二期,https://task.epwk.com/1095007/,35人,1人,"¥2,500",圆满完成,,H5直播网站开发有直播源接口-第二期,直接雇佣￥ 2500,￥ 2500,任务编号：1095007,0-88.csv,,
【外贸网站】开发一个外贸网站,https://task.epwk.com/1095184/,26人,1人,"¥3,300",圆满完成,,开发一个外贸网站,直接雇佣￥ 3300,￥ 3300,任务编号：1095184,0-88.csv,,
【其他建筑设计】厂房效果图,https://task.epwk.com/1095263/,49人,1人,¥50,圆满完成,,厂房效果图,直接雇佣￥ 50,￥ 50,任务编号：1095263,0-88.csv,,
【H5开发】商城平台系统开发,https://task.epwk.com/1095300/,130人,1人,"¥12,000",圆满完成,,商城平台系统开发,直接雇佣￥ 12000,￥ 12000,任务编号：1095300,0-88.csv,,
【APP开发】商城软件开发,https://task.epwk.com/1095347/,31人,1人,"¥46,840",圆满完成,,商城软件开发,直接雇佣￥ 46840,￥ 46840,任务编号：1095347,0-88.csv,,
【VI设计】叶面肥瓶签设计,https://task.epwk.com/1095398/,16人,1人,¥600,圆满完成,,叶面肥瓶签设计,直接雇佣￥ 600,￥ 600,任务编号：1095398,0-88.csv,,
【详情页设计】详情页设计电商海报轮播图主图,https://task.epwk.com/1095442/,91人,1人,¥300,圆满完成,,详情页设计电商海报轮播图主图,直接雇佣￥ 300,￥ 300,任务编号：1095442,0-88.csv,,
【其他网站】H5直播网站开发有直播源接口-第3/3期,https://task.epwk.com/1095531/,23人,1人,"¥2,500",圆满完成,,H5直播网站开发有直播源接口-第3/3期,直接雇佣￥ 2500,￥ 2500,任务编号：1095531,0-88.csv,,
【软件UI设计】设计图纸,https://task.epwk.com/1095538/,23人,1人,¥800,圆满完成,,设计图纸,直接雇佣￥ 800,￥ 800,任务编号：1095538,0-88.csv,,
【LOGO设计】详情页+主图+SKU,https://task.epwk.com/1095555/,42人,1人,¥500,圆满完成,,详情页+主图+SKU,直接雇佣￥ 500,￥ 500,任务编号：1095555,0-88.csv,,
【其他软件开发】淘宝多线程发货,https://task.epwk.com/1095701/,69人,1人,"¥8,000",圆满完成,,淘宝多线程发货,直接雇佣￥ 8000,￥ 8000,任务编号：1095701,0-88.csv,,
【VI设计】ui设计需求,https://task.epwk.com/1095881/,24人,1人,"¥1,500",圆满完成,,ui设计需求,直接雇佣￥ 1500,￥ 1500,任务编号：1095881,0-88.csv,,
【包装设计】杯子设计+纸托设计+设计说明定金50%,https://task.epwk.com/1096190/,29人,1人,¥750,圆满完成,,杯子设计+纸托设计+设计说明定金50%,直接雇佣￥ 750,￥ 750,任务编号：1096190,0-88.csv,,
【小程序开发】二级分销商城,https://task.epwk.com/1096614/,48人,1人,"¥5,000",圆满完成,,二级分销商城,直接雇佣￥ 5000,￥ 5000,任务编号：1096614,0-88.csv,,
【插画设计】杯子设计+纸托设计+设计说明尾款50%,https://task.epwk.com/1096676/,44人,1人,¥750,圆满完成,,杯子设计+纸托设计+设计说明尾款50%,直接雇佣￥ 750,￥ 750,任务编号：1096676,0-88.csv,,
【其他软件开发】协商好了,https://task.epwk.com/1096683/,36人,1人,"¥1,500",圆满完成,,协商好了,直接雇佣￥ 1500,￥ 1500,任务编号：1096683,0-88.csv,,
【电话调查】车辆产品信息调查（车载声音输入系统）,https://task.epwk.com/1096685/,34人,1人,¥400,圆满完成,,车辆产品信息调查（车载声音输入系统）,直接雇佣￥ 400,￥ 400,任务编号：1096685,0-88.csv,,
【电话调查】车辆产品信息调查（多辆车共享建议信息）,https://task.epwk.com/1096693/,41人,1人,¥400,圆满完成,,车辆产品信息调查（多辆车共享建议信息）,直接雇佣￥ 400,￥ 400,任务编号：1096693,0-88.csv,,
【LOGO设计】以369为核心设计企业logo,https://task.epwk.com/1096714/,45人,1人,¥800,圆满完成,,以369为核心设计企业logo,直接雇佣￥ 800,￥ 800,任务编号：1096714,0-88.csv,,
【海报设计】卡牌设计,https://task.epwk.com/1096741/,1215人,1人,¥500,工作中,,卡牌设计,直接雇佣￥ 500,￥ 500,任务编号：1096741,0-88.csv,,
【电话调查】显示系统信息调查,https://task.epwk.com/1096752/,25人,1人,¥400,圆满完成,,显示系统信息调查,直接雇佣￥ 400,￥ 400,任务编号：1096752,0-88.csv,,
【LOGO设计】产品字体设计,https://task.epwk.com/1096771/,33人,1人,¥500,圆满完成,,产品字体设计,直接雇佣￥ 500,￥ 500,任务编号：1096771,0-88.csv,,
【小程序开发】包月日常维护，修bug，做改动,https://task.epwk.com/1096865/,37人,1人,"¥3,000",圆满完成,,包月日常维护，修bug，做改动,直接雇佣￥ 3000,￥ 3000,任务编号：1096865,0-88.csv,,
【小程序开发】美厨小程序开发,https://task.epwk.com/1096977/,61人,1人,"¥5,500",圆满完成,,美厨小程序开发,直接雇佣￥ 5500,￥ 5500,任务编号：1096977,0-88.csv,,
【其他网站】JavaVUEHTML项目搭建,https://task.epwk.com/1096997/,24人,1人,¥300,圆满完成,,JavaVUEHTML项目搭建,直接雇佣￥ 300,￥ 300,任务编号：1096997,0-88.csv,,
【小程序开发】QQ机器人类型工具,https://task.epwk.com/1097066/,47人,1人,"¥3,000",圆满完成,,QQ机器人类型工具,直接雇佣￥ 3000,￥ 3000,任务编号：1097066,0-88.csv,,
【小程序开发】信用卡额度生成器,https://task.epwk.com/1097091/,23人,1人,¥200,圆满完成,,信用卡额度生成器,直接雇佣￥ 200,￥ 200,任务编号：1097091,0-88.csv,,
【其他工具软件】C++编写的工具，提取其中的代码封装成接口,https://task.epwk.com/1097204/,93人,1人,"¥10,000",圆满完成,,C++编写的工具，提取其中的代码封装成接口,直接雇佣￥ 10000,￥ 10000,任务编号：1097204,0-88.csv,,
【动画制作】动画改进版制作,https://task.epwk.com/1097220/,41人,1人,"¥1,000",圆满完成,,动画改进版制作,直接雇佣￥ 1000,￥ 1000,任务编号：1097220,0-88.csv,,
【网站UI设计】两个小程序页面设计,https://task.epwk.com/1097269/,35人,1人,¥200,圆满完成,,两个小程序页面设计,直接雇佣￥ 200,￥ 200,任务编号：1097269,0-88.csv,,
【微信开发】哔哩哔哩直播间,https://task.epwk.com/1097285/,61人,1人,"¥15,000",圆满完成,,哔哩哔哩直播间,直接雇佣￥ 15000,￥ 15000,任务编号：1097285,0-88.csv,,
【电话调查】车辆产品信息调查（车道维持控制功能的显示）,https://task.epwk.com/1097330/,16人,1人,¥400,圆满完成,,车辆产品信息调查（车道维持控制功能的显示）,直接雇佣￥ 400,￥ 400,任务编号：1097330,0-88.csv,,
【小程序开发】小程序开发（已确定服务商）,https://task.epwk.com/1097374/,60人,1人,"¥12,000",圆满完成,,小程序开发（已确定服务商）,直接雇佣￥ 12000,￥ 12000,任务编号：1097374,0-88.csv,,
【网站UI设计】仓库系统的大屏设计一期仓库初稿,https://task.epwk.com/1097557/,27人,1人,¥300,圆满完成,,仓库系统的大屏设计一期仓库初稿,直接雇佣￥ 300,￥ 300,任务编号：1097557,0-88.csv,,
【动画设计】动画设计购买,https://task.epwk.com/1097693/,40人,1人,"¥1,800",圆满完成,,动画设计购买,直接雇佣￥ 1800,￥ 1800,任务编号：1097693,0-88.csv,,
【软件UI设计】APP软件界面约32个的设计,https://task.epwk.com/1097727/,45人,1人,"¥1,800",圆满完成,,APP软件界面约32个的设计,直接雇佣￥ 1800,￥ 1800,任务编号：1097727,0-88.csv,,
【电话调查】车辆产品信息调查（辅助停车功能）,https://task.epwk.com/1097763/,13人,1人,¥400,圆满完成,,车辆产品信息调查（辅助停车功能）,直接雇佣￥ 400,￥ 400,任务编号：1097763,0-88.csv,,
【海报设计】:婴儿食品公司新品 想找接单美工,https://task.epwk.com/1097844/,44人,1人,¥40,圆满完成,,:婴儿食品公司新品 想找接单美工,直接雇佣￥ 40,￥ 40,任务编号：1097844,0-88.csv,,
【电话调查】车辆产品信息调查（自动驾驶模式）,https://task.epwk.com/1098006/,21人,1人,¥400,圆满完成,,车辆产品信息调查（自动驾驶模式）,直接雇佣￥ 400,￥ 400,任务编号：1098006,0-88.csv,,
【其他软件开发】PHP漏洞修复,https://task.epwk.com/1098059/,30人,1人,¥300,圆满完成,,PHP漏洞修复,直接雇佣￥ 300,￥ 300,任务编号：1098059,0-88.csv,,
【海报设计】彩页的设计,https://task.epwk.com/1098079/,32人,1人,¥80,圆满完成,,彩页的设计,直接雇佣￥ 80,￥ 80,任务编号：1098079,0-88.csv,,
【电话调查】车辆产品信息调查（防撞功能）,https://task.epwk.com/1098192/,20人,1人,¥400,圆满完成,,车辆产品信息调查（防撞功能）,直接雇佣￥ 400,￥ 400,任务编号：1098192,0-88.csv,,
【ERP系统】咨询类 APP 开发（一期尾款）,https://task.epwk.com/1098196/,25人,1人,"¥5,000",圆满完成,,咨询类 APP 开发（一期尾款）,直接雇佣￥ 5000,￥ 5000,任务编号：1098196,0-88.csv,,
【网站UI设计】大屏项目二期工程,https://task.epwk.com/1098200/,68人,1人,¥900,圆满完成,,大屏项目二期工程,直接雇佣￥ 900,￥ 900,任务编号：1098200,0-88.csv,,
【其他软件开发】已谈好,https://task.epwk.com/1098201/,19人,1人,¥400,圆满完成,,已谈好,直接雇佣￥ 400,￥ 400,任务编号：1098201,0-88.csv,,
【定制开发】网站简单页面修改,https://task.epwk.com/1098208/,34人,1人,"¥1,780",圆满完成,,网站简单页面修改,直接雇佣￥ 1780,￥ 1780,任务编号：1098208,0-88.csv,,
【定制开发】急 页面修改,https://task.epwk.com/1098444/,29人,1人,"¥1,750",圆满完成,,急 页面修改,直接雇佣￥ 1750,￥ 1750,任务编号：1098444,0-88.csv,,
【电话调查】车辆产品信息调查（防撞功能2）,https://task.epwk.com/1098499/,15人,1人,¥400,圆满完成,,车辆产品信息调查（防撞功能2）,直接雇佣￥ 400,￥ 400,任务编号：1098499,0-88.csv,,
【电话调查】车辆产品信息调查（车道维持控制装置）,https://task.epwk.com/1098551/,17人,1人,¥400,圆满完成,,车辆产品信息调查（车道维持控制装置）,直接雇佣￥ 400,￥ 400,任务编号：1098551,0-88.csv,,
【小程序开发】员工任务管理系统小程序开发二期款,https://task.epwk.com/1098773/,64人,1人,"¥6,000",圆满完成,,员工任务管理系统小程序开发二期款,直接雇佣￥ 6000,￥ 6000,任务编号：1098773,0-88.csv,,
【定制开发】交友APP首款,https://task.epwk.com/1098785/,88人,1人,"¥50,000",圆满完成,,交友APP首款,直接雇佣￥ 50000,￥ 50000,任务编号：1098785,0-88.csv,,
【定制开发】交友APP首款,https://task.epwk.com/1098787/,28人,1人,"¥2,520",圆满完成,,交友APP首款,直接雇佣￥ 2520,￥ 2520,任务编号：1098787,0-88.csv,,
【电话调查】车辆产品信息调查（车道维持控制技术）,https://task.epwk.com/1098921/,10人,1人,¥400,圆满完成,,车辆产品信息调查（车道维持控制技术）,直接雇佣￥ 400,￥ 400,任务编号：1098921,0-88.csv,,
【电话调查】车辆产品信息调查（警报技术）,https://task.epwk.com/1098922/,8人,1人,¥400,圆满完成,,车辆产品信息调查（警报技术）,直接雇佣￥ 400,￥ 400,任务编号：1098922,0-88.csv,,
【电话调查】车辆产品信息调查（车辆自动驾驶切换）,https://task.epwk.com/1098923/,12人,1人,¥400,圆满完成,,车辆产品信息调查（车辆自动驾驶切换）,直接雇佣￥ 400,￥ 400,任务编号：1098923,0-88.csv,,
【公众号文章】石林贸易公众号文章撰写,https://task.epwk.com/1098927/,58人,1人,¥500,圆满完成,,石林贸易公众号文章撰写,直接雇佣￥ 500,￥ 500,任务编号：1098927,0-88.csv,,
【公众号文章】西藏文化公众号文章撰写,https://task.epwk.com/1098929/,66人,1人,¥300,圆满完成,,西藏文化公众号文章撰写,直接雇佣￥ 300,￥ 300,任务编号：1098929,0-88.csv,,
【行业分析报告】预制菜行业分析报告,https://task.epwk.com/1098932/,4人,1人,¥500,圆满完成,,预制菜行业分析报告,直接雇佣￥ 500,￥ 500,任务编号：1098932,0-88.csv,,
【行业分析报告】新能源汽车行业分析报告,https://task.epwk.com/1098933/,10人,1人,"¥1,000",圆满完成,,新能源汽车行业分析报告,直接雇佣￥ 1000,￥ 1000,任务编号：1098933,0-88.csv,,
【种草文案】护手霜种草文案,https://task.epwk.com/1098937/,10人,1人,¥500,圆满完成,,护手霜种草文案,直接雇佣￥ 500,￥ 500,任务编号：1098937,0-88.csv,,
【种草文案】学习机种草文案,https://task.epwk.com/1098938/,18人,1人,"¥1,000",圆满完成,,学习机种草文案,直接雇佣￥ 1000,￥ 1000,任务编号：1098938,0-88.csv,,
【详情页文案】新希望饮品详情页文案,https://task.epwk.com/1098942/,2人,1人,"¥1,000",圆满完成,,新希望饮品详情页文案,直接雇佣￥ 1000,￥ 1000,任务编号：1098942,0-88.csv,,
【详情页文案】蜂蜜详情页文案,https://task.epwk.com/1098943/,7人,1人,¥500,圆满完成,,蜂蜜详情页文案,直接雇佣￥ 500,￥ 500,任务编号：1098943,0-88.csv,,
【公关稿】广西北海制药国发集团公关稿,https://task.epwk.com/1098948/,9人,1人,¥500,圆满完成,,广西北海制药国发集团公关稿,直接雇佣￥ 500,￥ 500,任务编号：1098948,0-88.csv,,
【公关稿】草创堂野生松茸公关稿,https://task.epwk.com/1098950/,8人,1人,¥800,圆满完成,,草创堂野生松茸公关稿,直接雇佣￥ 800,￥ 800,任务编号：1098950,0-88.csv,,
【自媒体软文】艺术培训学校软文撰写,https://task.epwk.com/1098954/,22人,1人,¥300,圆满完成,,艺术培训学校软文撰写,直接雇佣￥ 300,￥ 300,任务编号：1098954,0-88.csv,,
【自媒体软文】浣洗洗护自媒体营销推广软文,https://task.epwk.com/1098955/,72人,1人,¥500,圆满完成,,浣洗洗护自媒体营销推广软文,直接雇佣￥ 500,￥ 500,任务编号：1098955,0-88.csv,,
【电话调查】车辆产品信息调查（驾驶辅助装置）,https://task.epwk.com/1099007/,14人,1人,¥400,圆满完成,,车辆产品信息调查（驾驶辅助装置）,直接雇佣￥ 400,￥ 400,任务编号：1099007,0-88.csv,,
【电话调查】车辆产品信息调查（车辆远程操作）,https://task.epwk.com/1099014/,17人,1人,¥400,圆满完成,,车辆产品信息调查（车辆远程操作）,直接雇佣￥ 400,￥ 400,任务编号：1099014,0-88.csv,,
【电话调查】车辆产品信息调查（车辆远程操作2）,https://task.epwk.com/1099015/,23人,1人,¥400,圆满完成,,车辆产品信息调查（车辆远程操作2）,直接雇佣￥ 400,￥ 400,任务编号：1099015,0-88.csv,,
【网站UI设计】需要设计,https://task.epwk.com/1099160/,29人,1人,¥600,圆满完成,,需要设计,直接雇佣￥ 600,￥ 600,任务编号：1099160,0-88.csv,,
【小程序开发】管道小程序二开,https://task.epwk.com/1099465/,189人,1人,"¥2,000",圆满完成,,管道小程序二开,直接雇佣￥ 2000,￥ 2000,任务编号：1099465,0-88.csv,,
【LOGO设计】商旅 logo 设计,https://task.epwk.com/1099507/,17人,1人,¥550,圆满完成,,商旅 logo 设计,直接雇佣￥ 550,￥ 550,任务编号：1099507,0-88.csv,,
【视频定制】视频剪辑制作,https://task.epwk.com/1099538/,99人,1人,¥500,圆满完成,,视频剪辑制作,直接雇佣￥ 500,￥ 500,任务编号：1099538,0-88.csv,,
【软件UI设计】PC端设计,https://task.epwk.com/1099548/,284人,1人,"¥3,300",圆满完成,,PC端设计,直接雇佣￥ 3300,￥ 3300,任务编号：1099548,0-88.csv,,
【电话调查】车辆产品信息调查（限制车道变更）,https://task.epwk.com/1099906/,10人,1人,¥400,圆满完成,,车辆产品信息调查（限制车道变更）,直接雇佣￥ 400,￥ 400,任务编号：1099906,0-88.csv,,
【电话调查】车辆产品信息调查（车道变更中止条件）,https://task.epwk.com/1099912/,8人,1人,¥400,圆满完成,,车辆产品信息调查（车道变更中止条件）,直接雇佣￥ 400,￥ 400,任务编号：1099912,0-88.csv,,
【电话调查】车辆产品信息调查（车辆周边监视装置）,https://task.epwk.com/1099914/,22人,1人,¥400,圆满完成,,车辆产品信息调查（车辆周边监视装置）,直接雇佣￥ 400,￥ 400,任务编号：1099914,0-88.csv,,
【展台设计】有图片，有内容，自由搭配，达到做好视觉效果,https://task.epwk.com/1100151/,38人,1人,¥500,圆满完成,,有图片，有内容，自由搭配，达到做好视觉效果,直接雇佣￥ 500,￥ 500,任务编号：1100151,0-88.csv,,
【LOGO设计】品牌设计,https://task.epwk.com/1100170/,18人,1人,"¥3,600",圆满完成,,品牌设计,直接雇佣￥ 3600,￥ 3600,任务编号：1100170,0-88.csv,,
【APP开发】知了 APP开发 二期款,https://task.epwk.com/1100179/,621人,1人,"¥20,000",工作中,,知了 APP开发 二期款,直接雇佣￥ 20000,￥ 20000,任务编号：1100179,0-88.csv,,
【软件UI设计】软件界面设计管理系统ui设计大数据ui客户端软件触摸屏,https://task.epwk.com/1100187/,51人,1人,¥500,圆满完成,,软件界面设计管理系统ui设计大数据ui客户端软件触摸屏,直接雇佣￥ 500,￥ 500,任务编号：1100187,0-88.csv,,
【电商平台管理】亚马逊平台管理,https://task.epwk.com/1100261/,19人,1人,¥800,圆满完成,,亚马逊平台管理,直接雇佣￥ 800,￥ 800,任务编号：1100261,0-88.csv,,
【其他平台代运营】生鲜拼多多店铺运营,https://task.epwk.com/1100264/,14人,1人,"¥1,500",圆满完成,,生鲜拼多多店铺运营,直接雇佣￥ 1500,￥ 1500,任务编号：1100264,0-88.csv,,
【节日营销活动】购物节返利网站营销活动策划,https://task.epwk.com/1100266/,5人,1人,¥800,圆满完成,,购物节返利网站营销活动策划,直接雇佣￥ 800,￥ 800,任务编号：1100266,0-88.csv,,
【专业背书营销】森珍otc药品专业背书营销,https://task.epwk.com/1100268/,4人,1人,"¥2,000",圆满完成,,森珍otc药品专业背书营销,直接雇佣￥ 2000,￥ 2000,任务编号：1100268,0-88.csv,,
【软件UI设计】软件界面设计管理系统ui设计大数据ui客户端软件触摸屏,https://task.epwk.com/1100393/,534人,1人,"¥1,500",圆满完成,,软件界面设计管理系统ui设计大数据ui客户端软件触摸屏,直接雇佣￥ 1500,￥ 1500,任务编号：1100393,0-88.csv,,
【定制开发】职规平台、超链接平台,https://task.epwk.com/1100739/,66人,1人,"¥2,800",圆满完成,,职规平台、超链接平台,直接雇佣￥ 2800,￥ 2800,任务编号：1100739,0-88.csv,,
【电商网站】php项目定制开发,https://task.epwk.com/1101120/,78人,1人,"¥7,000",圆满完成,,php项目定制开发,直接雇佣￥ 7000,￥ 7000,任务编号：1101120,0-88.csv,,
【APP开发】APP定制,https://task.epwk.com/1101267/,53人,1人,"¥32,737",圆满完成,,APP定制,直接雇佣￥ 32737,￥ 32737,任务编号：1101267,0-88.csv,,
【APP开发】安卓开发,https://task.epwk.com/1101282/,63人,1人,"¥6,600",圆满完成,,安卓开发,直接雇佣￥ 6600,￥ 6600,任务编号：1101282,0-88.csv,,
【小程序开发】国品汇健康科技（天津）有限公司,https://task.epwk.com/1101293/,42人,1人,"¥3,000",圆满完成,,国品汇健康科技（天津）有限公司,直接雇佣￥ 3000,￥ 3000,任务编号：1101293,0-88.csv,,
