标题,标题链接,查看数,参与数,价格,状态,当前网页URL,详情标题,字段1,字段2,字段3,原文件名,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,知识
网站制作,https://task.epwk.com/325451/,87人,1人,¥30,圆满完成,https://task.epwk.com/page3129.html?m=6&o=7,网站制作,直接雇佣￥ 30,￥ 30,任务编号：325451,2900-3152.csv,,2015.0,,,,,,网站制作
【宝宝起名】宝宝取名,https://task.epwk.com/325454/,561人,1人,¥80,圆满完成,https://task.epwk.com/page3129.html?m=6&o=7,宝宝取名,直接雇佣￥ 80,￥ 80,任务编号：325454,2900-3152.csv,,,,,,,,宝宝取名
做公司管理系统,https://task.epwk.com/325462/,271人,1人,"¥6,000",圆满完成,https://task.epwk.com/page3128.html?m=6&o=7,做公司管理系统,直接雇佣￥ 6000,￥ 6000,任务编号：325462,2900-3152.csv,,,,,,,,"公司管理系统, 系统设计"
比特币导航网站建设,https://task.epwk.com/325463/,235人,1人,"¥3,500",圆满完成,https://task.epwk.com/page3128.html?m=6&o=7,比特币导航网站建设,直接雇佣￥ 3500,￥ 3500,任务编号：325463,2900-3152.csv,,,,,,,,"比特币导航网站, 建设"
做一个论坛类的网站,https://task.epwk.com/325567/,536人,1人,¥500,圆满完成,https://task.epwk.com/page3128.html?m=6&o=7,做一个论坛类的网站,直接雇佣￥ 500,￥ 500,任务编号：325567,2900-3152.csv,,,,,,,,"论坛网站, 网站开发"
校园公共空间广场文案策划,https://task.epwk.com/325570/,260人,1人,¥500,圆满完成,https://task.epwk.com/page3128.html?m=6&o=7,校园公共空间广场文案策划,直接雇佣￥ 500,￥ 500,任务编号：325570,2900-3152.csv,,,,,,,,"校园公共空间, 广场文案, 策划"
本地网上购物超市开发,https://task.epwk.com/325581/,124人,1人,"¥13,600",圆满完成,https://task.epwk.com/page3128.html?m=6&o=7,本地网上购物超市开发,直接雇佣￥ 13600,￥ 13600,任务编号：325581,2900-3152.csv,,,,,,,,"本地超市, 网上购物, 超市开发"
零食包装礼盒设计,https://task.epwk.com/325582/,115人,1人,"¥3,000",圆满完成,https://task.epwk.com/page3128.html?m=6&o=7,零食包装礼盒设计,直接雇佣￥ 3000,￥ 3000,任务编号：325582,2900-3152.csv,,,,,,, ,"零食包装, 礼盒设计"
【微信开发】模仿一个微信平台公众号：山屿湖,https://task.epwk.com/325620/,324人,1人,¥600,圆满完成,https://task.epwk.com/page3128.html?m=6&o=7,模仿一个微信平台公众号：山屿湖,直接雇佣￥ 600,￥ 600,任务编号：325620,2900-3152.csv,,,,,,,,"微信公众号, 模仿设计, 山屿湖"
润彩馨RCX商务电子公司名片设计,https://task.epwk.com/325629/,195人,1人,¥200,圆满完成,https://task.epwk.com/page3128.html?m=6&o=7,润彩馨RCX商务电子公司名片设计,直接雇佣￥ 200,￥ 200,任务编号：325629,2900-3152.csv,,,,,,,,"商务电子公司, 名片设计, 润彩馨"
【LOGO设计】App页面设计,https://task.epwk.com/325637/,219人,1人,"¥2,500",圆满完成,https://task.epwk.com/page3128.html?m=6&o=7,App页面设计,直接雇佣￥ 2500,￥ 2500,任务编号：325637,2900-3152.csv,,,,,,,,App页面设计
场景建筑设计5,https://task.epwk.com/325639/,142人,1人,"¥3,100",圆满完成,https://task.epwk.com/page3128.html?m=6&o=7,场景建筑设计5,直接雇佣￥ 3100,￥ 3100,任务编号：325639,2900-3152.csv,,,,,,,,"场景建筑, 设计"
连锁店铺设计效果图,https://task.epwk.com/325643/,120人,1人,¥800,圆满完成,https://task.epwk.com/page3128.html?m=6&o=7,连锁店铺设计效果图,直接雇佣￥ 800,￥ 800,任务编号：325643,2900-3152.csv,,,,,,,,"连锁店铺, 设计效果图"
【宣传册设计】润彩欣RCX商务电子公司宣传册,https://task.epwk.com/325645/,206人,1人,"¥4,800",圆满完成,https://task.epwk.com/page3128.html?m=6&o=7,润彩欣RCX商务电子公司宣传册,直接雇佣￥ 4800,￥ 4800,任务编号：325645,2900-3152.csv,,,,,,,,"润彩欣RCX, 商务电子公司, 宣传册"
羊年台历设计14P,https://task.epwk.com/325661/,143人,1人,"¥4,000",圆满完成,https://task.epwk.com/page3128.html?m=6&o=7,羊年台历设计14P,直接雇佣￥ 4000,￥ 4000,任务编号：325661,2900-3152.csv,,,,,,,,"羊年台历, 设计, 14P"
电商网站设计,https://task.epwk.com/325674/,114人,1人,"¥1,000",圆满完成,https://task.epwk.com/page3128.html?m=6&o=7,电商网站设计,直接雇佣￥ 1000,￥ 1000,任务编号：325674,2900-3152.csv,,,,,,,,"电商网站, 网站设计"
TLQ -logo及简单vi设计,https://task.epwk.com/325677/,179人,1人,"¥6,000",圆满完成,https://task.epwk.com/page3128.html?m=6&o=7,TLQ -logo及简单vi设计,直接雇佣￥ 6000,￥ 6000,任务编号：325677,2900-3152.csv,,,,,,,,"logo, vi设计"
【微信推广】微信营销需要大号帮忙转发谢谢,https://task.epwk.com/325692/,306人,1人,"¥3,000",圆满完成,https://task.epwk.com/page3128.html?m=6&o=7,微信营销需要大号帮忙转发谢谢,直接雇佣￥ 3000,￥ 3000,任务编号：325692,2900-3152.csv,,,,,,,,"微信营销, 转发, 大号"
【产品推广】问答群做，内容需要你们帮我们整合,https://task.epwk.com/325694/,167人,1人,"¥11,885",圆满完成,https://task.epwk.com/page3128.html?m=6&o=7,问答群做，内容需要你们帮我们整合,直接雇佣￥ 11885,￥ 11885,任务编号：325694,2900-3152.csv,,,,,,,,"问答群, 内容整合"
【企业官网】XX电子商务公司社交旅游网站改版研发第一个任务,https://task.epwk.com/325697/,214人,1人,"¥8,400",圆满完成,https://task.epwk.com/page3128.html?m=6&o=7,XX电子商务公司社交旅游网站改版研发第一个任务,直接雇佣￥ 8400,￥ 8400,任务编号：325697,2900-3152.csv,,,,,,,,"电子商务公司, 社交旅游, 网站改版"
logo设计,https://task.epwk.com/325698/,239人,1人,¥180,圆满完成,https://task.epwk.com/page3128.html?m=6&o=7,logo设计,直接雇佣￥ 180,￥ 180,任务编号：325698,2900-3152.csv,,,,,,,,logo设计
【APP开发】官方商城开发增加小功能,https://task.epwk.com/325701/,337人,1人,"¥2,000",圆满完成,https://task.epwk.com/page3128.html?m=6&o=7,官方商城开发增加小功能,直接雇佣￥ 2000,￥ 2000,任务编号：325701,2900-3152.csv,,,,,,,,"官方商城, 功能开发"
电子商务网站建设,https://task.epwk.com/325707/,112人,1人,"¥5,000",圆满完成,https://task.epwk.com/page3128.html?m=6&o=7,电子商务网站建设,直接雇佣￥ 5000,￥ 5000,任务编号：325707,2900-3152.csv,,,,,,,,"电子商务网站, 网站建设"
识别手机各种浏览器 并跳转到不同的地址,https://task.epwk.com/325737/,188人,1人,¥200,圆满完成,https://task.epwk.com/page3128.html?m=6&o=7,识别手机各种浏览器 并跳转到不同的地址,直接雇佣￥ 200,￥ 200,任务编号：325737,2900-3152.csv,,,,,,,,"手机浏览器识别, 地址跳转"
【产品推广】指定类型门户论坛发帖顶帖,https://task.epwk.com/325738/,381人,1人,"¥4,000",圆满完成,https://task.epwk.com/page3128.html?m=6&o=7,指定类型门户论坛发帖顶帖,直接雇佣￥ 4000,￥ 4000,任务编号：325738,2900-3152.csv,,,,,,,,"门户论坛, 发帖, 顶帖"
APP程序开发,https://task.epwk.com/325744/,242人,1人,"¥5,000",圆满完成,https://task.epwk.com/page3128.html?m=6&o=7,APP程序开发,直接雇佣￥ 5000,￥ 5000,任务编号：325744,2900-3152.csv,,,,,,,,"APP开发, 程序设计"
【单身公寓设计】家装设计,https://task.epwk.com/325754/,355人,1人,"¥1,000",圆满完成,https://task.epwk.com/page3128.html?m=6&o=7,家装设计,直接雇佣￥ 1000,￥ 1000,任务编号：325754,2900-3152.csv,,,,,,,,家装设计
【排版设计】书籍排版插图等,https://task.epwk.com/325772/,807人,1人,"¥2,000",圆满完成,https://task.epwk.com/page3128.html?m=6&o=7,书籍排版插图等,直接雇佣￥ 2000,￥ 2000,任务编号：325772,2900-3152.csv,,,,,,,,"书籍排版, 插图设计"
广告片2-3分钟制作,https://task.epwk.com/325774/,425人,1人,"¥1,500",圆满完成,https://task.epwk.com/page3128.html?m=6&o=7,广告片2-3分钟制作,直接雇佣￥ 1500,￥ 1500,任务编号：325774,2900-3152.csv,,,,,,,,"广告片, 制作"
企业VI设计,https://task.epwk.com/325776/,76人,1人,"¥10,000",圆满完成,https://task.epwk.com/page3128.html?m=6&o=7,企业VI设计,直接雇佣￥ 10000,￥ 10000,任务编号：325776,2900-3152.csv,,,,,,,,企业VI设计
阿里旺铺首页装修设置，产品页面设置,https://task.epwk.com/325782/,740人,1人,"¥5,000",圆满完成,https://task.epwk.com/page3128.html?m=6&o=7,阿里旺铺首页装修设置，产品页面设置,直接雇佣￥ 5000,￥ 5000,任务编号：325782,2900-3152.csv,,,,,,,,"阿里旺铺首页, 产品页面设置"
【LOGO设计】巴黎印象以名字为主的图形logo设计,https://task.epwk.com/325786/,275人,1人,¥100,圆满完成,https://task.epwk.com/page3128.html?m=6&o=7,巴黎印象以名字为主的图形logo设计,直接雇佣￥ 100,￥ 100,任务编号：325786,2900-3152.csv,,,,,,,,"巴黎印象, 图形logo, 名字设计"
【产品推广】www.wm927.com Alexa排名,https://task.epwk.com/325792/,409人,1人,¥320,圆满完成,https://task.epwk.com/page3127.html?m=6&o=7,www.wm927.com Alexa排名,直接雇佣￥ 320,￥ 320,任务编号：325792,2900-3152.csv,,,,,,,,"Alexa排名, 网站分析"
【微博营销】灰指甲类产品微博推广,https://task.epwk.com/325797/,429人,1人,¥150,圆满完成,https://task.epwk.com/page3127.html?m=6&o=7,灰指甲类产品微博推广,直接雇佣￥ 150,￥ 150,任务编号：325797,2900-3152.csv,,,,,,,,"灰指甲, 微博推广"
数据录入2期,https://task.epwk.com/325800/,874人,1人,"¥20,000",圆满完成,https://task.epwk.com/page3127.html?m=6&o=7,数据录入2期,直接雇佣￥ 20000,￥ 20000,任务编号：325800,2900-3152.csv,,,,,,,,"数据录入, 二期"
【LOGO设计】威达兴建设集团Logo设计,https://task.epwk.com/325808/,195人,1人,"¥1,288",圆满完成,https://task.epwk.com/page3127.html?m=6&o=7,威达兴建设集团Logo设计,直接雇佣￥ 1288,￥ 1288,任务编号：325808,2900-3152.csv,,,,,,,,"威达兴建设集团, Logo设计"
厦门小吃餐厅logo和VI设计,https://task.epwk.com/325809/,439人,1人,¥500,圆满完成,https://task.epwk.com/page3127.html?m=6&o=7,厦门小吃餐厅logo和VI设计,直接雇佣￥ 500,￥ 500,任务编号：325809,2900-3152.csv,,,,,,,,"厦门小吃, logo, VI设计"
【其他软件开发】一夫公司系统OA与微店对账接口API的整合开发,https://task.epwk.com/325817/,245人,1人,"¥15,000",圆满完成,https://task.epwk.com/page3127.html?m=6&o=7,一夫公司系统OA与微店对账接口API的整合开发,直接雇佣￥ 15000,￥ 15000,任务编号：325817,2900-3152.csv,,,,,,,,"系统OA, 微店对账, API整合"
【APP开发】某大型机械交易平台网站内网邮件管理应用开发,https://task.epwk.com/325824/,249人,1人,"¥19,000",圆满完成,https://task.epwk.com/page3127.html?m=6&o=7,某大型机械交易平台网站内网邮件管理应用开发,直接雇佣￥ 19000,￥ 19000,任务编号：325824,2900-3152.csv,,,,,,,,"内网邮件管理, 机械交易平台, 应用开发"
【企业官网】第十一期合作,https://task.epwk.com/325836/,238人,1人,¥300,圆满完成,https://task.epwk.com/page3127.html?m=6&o=7,第十一期合作,直接雇佣￥ 300,￥ 300,任务编号：325836,2900-3152.csv,,,,,,,,第十一期合作
宣传海报设计,https://task.epwk.com/325842/,80人,1人,¥800,圆满完成,https://task.epwk.com/page3127.html?m=6&o=7,宣传海报设计,直接雇佣￥ 800,￥ 800,任务编号：325842,2900-3152.csv,,,,,,,,"宣传海报, 设计"
【电商网站】电商网站开发,https://task.epwk.com/325846/,213人,1人,"¥1,000",圆满完成,https://task.epwk.com/page3127.html?m=6&o=7,电商网站开发,直接雇佣￥ 1000,￥ 1000,任务编号：325846,2900-3152.csv,,,,,,,,"电商网站, 网站开发"
【微信开发】微信公众平台代运营,https://task.epwk.com/325849/,423人,1人,"¥4,000",圆满完成,https://task.epwk.com/page3127.html?m=6&o=7,微信公众平台代运营,直接雇佣￥ 4000,￥ 4000,任务编号：325849,2900-3152.csv,,,,,,,,"微信公众平台, 代运营"
【微博营销】礼品网站微博推广新浪微博达人转发 3次,https://task.epwk.com/325855/,395人,1人,"¥4,000",圆满完成,https://task.epwk.com/page3127.html?m=6&o=7,礼品网站微博推广新浪微博达人转发 3次,直接雇佣￥ 4000,￥ 4000,任务编号：325855,2900-3152.csv,,,,,,,,"礼品网站, 微博推广, 新浪微博达人"
【LOGO设计】华志科技logo设计,https://task.epwk.com/325874/,220人,1人,¥500,圆满完成,https://task.epwk.com/page3127.html?m=6&o=7,华志科技logo设计,直接雇佣￥ 500,￥ 500,任务编号：325874,2900-3152.csv,,,,,,,,"华志科技, logo设计"
【小程序开发】某机械加工网站微商支付接口开发,https://task.epwk.com/325879/,204人,1人,"¥13,500",圆满完成,https://task.epwk.com/page3127.html?m=6&o=7,某机械加工网站微商支付接口开发,直接雇佣￥ 13500,￥ 13500,任务编号：325879,2900-3152.csv,,,,,,,,"机械加工, 微商支付接口, 网站开发"
【嵌入式软件】某企业内网voip语音系统的设置方案和测试方案,https://task.epwk.com/325885/,1812人,1人,"¥11,000",圆满完成,https://task.epwk.com/page3127.html?m=6&o=7,某企业内网voip语音系统的设置方案和测试方案,直接雇佣￥ 11000,￥ 11000,任务编号：325885,2900-3152.csv,,,,,,,,"内网voip, 语音系统, 设置方案, 测试方案"
广告设计,https://task.epwk.com/325889/,137人,1人,"¥30,000",圆满完成,https://task.epwk.com/page3127.html?m=6&o=7,广告设计,直接雇佣￥ 30000,￥ 30000,任务编号：325889,2900-3152.csv,,,,,,,,广告设计
【电商网站】P2P网贷平台建设,https://task.epwk.com/325899/,388人,1人,"¥30,000",圆满完成,https://task.epwk.com/page3127.html?m=6&o=7,P2P网贷平台建设,直接雇佣￥ 30000,￥ 30000,任务编号：325899,2900-3152.csv,,,,,,,,"P2P网贷, 平台建设"
网站建设 佣兵007,https://task.epwk.com/325919/,253人,1人,"¥4,909",圆满完成,https://task.epwk.com/page3127.html?m=6&o=7,网站建设 佣兵007,直接雇佣￥ 4909,￥ 4909,任务编号：325919,2900-3152.csv,,,,,,,,"网站建设, 佣兵007"
